country,value
Saint Kitts and Nevis_muslims,5000
Saint Pierre and Miquelon_muslims,5000
Saint Vincent and the Grenadines_muslims,5000
Samoa_muslims,5000
San Marino_muslims,5000
Sao Tome and Principe_muslims,5000
Saudi Arabia_muslims,25520000
Senegal_muslims,11980000
Serbia_muslims,330000
Seychelles_muslims,5000
Sierra Leone_muslims,4580000
Singapore_muslims,730000
Sint Maarten_muslims,5000
Slovakia_muslims,5000
Slovenia_muslims,70000
Solomon Islands_muslims,5000
Somalia_muslims,9310000
South Africa_muslims,860000
South Korea_muslims,100000
South Sudan_muslims,610000
Spain_muslims,980000
Sri Lanka_muslims,2040000
Sudan_muslims,30490000
Suriname_muslims,80000
Sweden_muslims,430000
Switzerland_muslims,380000
Syria_muslims,18930000
Taiwan_muslims,10000
Tajikistan_muslims,6650000
Tanzania_muslims,15770000
Thailand_muslims,3770000
Timor-Leste_muslims,5000
Togo_muslims,840000
Tokelau_muslims,5000
Tonga_muslims,5000
Trinidad and Tobago_muslims,80000
Tunisia_muslims,10430000
Turkey_muslims,71330000
Turkmenistan_muslims,4690000
Turks and Caicos Islands_muslims,5000
Tuvalu_muslims,5000
Uganda_muslims,3840000
Ukraine_muslims,560000
United Arab Emirates_muslims,5780000
United Kingdom_muslims,2960000
United States_muslims,2770000
United States Virgin Islands_muslims,5000
Uruguay_muslims,5000
Uzbekistan_muslims,26550000
Vanuatu_muslims,5000
Vatican City_muslims,5000
Venezuela_muslims,90000
Vietnam_muslims,160000
Wallis and Futuna_muslims,5000
Western Sahara_muslims,530000
Yemen_muslims,23830000
Zambia_muslims,70000
Zimbabwe_muslims,110000
Afghanistan_hindus,10000
Albania_hindus,5000
Algeria_hindus,5000
American Samoa_hindus,5000
Andorra_hindus,5000
Angola_hindus,5000
Anguilla_hindus,5000
Antigua and Barbuda_hindus,5000
Argentina_hindus,5000
Armenia_hindus,5000
Aruba_hindus,5000
Australia_hindus,310000
Austria_hindus,5000
Azerbaijan_hindus,5000
Bahamas_hindus,5000
Bahrain_hindus,120000
Bangladesh_hindus,12680000
Barbados_hindus,5000
Belarus_hindus,5000
Belgium_hindus,5000
Belize_hindus,5000
Benin_hindus,5000
Bermuda_hindus,5000
Bhutan_hindus,160000
Bolivia_hindus,5000
Bosnia and Herzegovina_hindus,5000
Botswana_hindus,5000
Brazil_hindus,5000
British Virgin Islands_hindus,5000
Brunei_hindus,5000
Bulgaria_hindus,5000
Burkina Faso_hindus,5000
Burundi_hindus,5000
Cambodia_hindus,5000
Cameroon_hindus,5000
Canada_hindus,470000
Cape Verde_hindus,5000
Cayman Islands_hindus,5000
Central African Republic_hindus,5000
Chad_hindus,5000
Chile_hindus,5000
China_hindus,20000
Colombia_hindus,5000
Comoros_hindus,5000
Cook Islands_hindus,5000
Costa Rica_hindus,5000
Croatia_hindus,5000
Cuba_hindus,20000
Curacao_hindus,5000
Cyprus_hindus,5000
Czech Republic_hindus,5000
Denmark_hindus,20000
Djibouti_hindus,5000
Dominica_hindus,5000
Dominican Republic_hindus,5000
DR Congo_hindus,30000
Ecuador_hindus,5000
Egypt_hindus,5000
El Salvador_hindus,5000
Equatorial Guinea_hindus,5000
Eritrea_hindus,5000
Estonia_hindus,5000
Eswatini_hindus,5000
Ethiopia_hindus,5000
Falkland Islands_hindus,5000
Faroe Islands_hindus,5000
Fiji_hindus,240000
Finland_hindus,5000
France_hindus,30000
French Guiana_hindus,5000
French Polynesia_hindus,5000
Gabon_hindus,5000
Gambia_hindus,5000
Georgia_hindus,5000
Germany_hindus,80000
Ghana_hindus,5000
Gibraltar_hindus,5000
Greece_hindus,20000
Greenland_hindus,5000
Grenada_hindus,5000
Guadeloupe_hindus,5000
Guam_hindus,5000
Guatemala_hindus,5000
Guinea_hindus,5000
Guinea-Bissau_hindus,5000
Guyana_hindus,190000
Haiti_hindus,5000
